Top-first,Top-second,Top-third,Top-fourth,Middle1-first,Middle1-second,Middle1-third,Middle1-fourth,Middle2-first,Middle2-second,Middle2-third,Middle2-fourth,Bottom-first,Bottom-second,Bottom-third,Bottom-fourth,result
2,-1,-1,-1,1,1,0,2,1,2,0,0,0,0,0,0,-1
2,-1,-1,-1,1,1,0,2,0,2,1,0,0,0,0,0,-1
2,-1,-1,-1,1,1,0,2,0,2,0,1,0,0,0,0,-1
2,-1,-1,-1,1,1,0,2,0,2,0,0,1,0,0,0,-1
2,-1,-1,-1,1,1,0,2,0,2,0,0,0,1,0,0,-1
2,-1,-1,-1,1,1,0,2,0,2,0,0,0,0,1,0,-1
2,-1,-1,-1,1,1,0,2,0,2,0,0,0,0,0,1,-1
2,-1,-1,-1,0,1,1,2,1,2,0,0,0,0,0,0,-1
2,-1,-1,-1,0,1,1,2,0,2,1,0,0,0,0,0,-1
2,-1,-1,-1,0,1,1,2,0,2,0,1,0,0,0,0,-1
2,-1,-1,-1,0,1,1,2,0,2,0,0,1,0,0,0,-1
2,-1,-1,-1,0,1,1,2,0,2,0,0,0,1,0,0,-1
2,-1,-1,-1,0,1,1,2,0,2,0,0,0,0,1,0,-1
2,-1,-1,-1,0,1,1,2,0,2,0,0,0,0,0,1,-1
2,-1,-1,-1,1,0,1,2,1,2,0,0,0,0,0,0,-1
2,-1,-1,-1,1,0,1,2,0,2,1,0,0,0,0,0,-1
2,-1,-1,-1,1,0,1,2,0,2,0,1,0,0,0,0,-1
2,-1,-1,-1,1,0,1,2,0,2,0,0,1,0,0,0,-1
2,-1,-1,-1,1,0,1,2,0,2,0,0,0,1,0,0,-1
2,-1,-1,-1,1,0,1,2,0,2,0,0,0,0,1,0,-1
2,-1,-1,-1,1,0,1,2,0,2,0,0,0,0,0,1,-1
2,-1,-1,-1,1,1,0,2,1,2,0,0,0,0,0,0,-1
2,-1,-1,-1,1,0,1,2,1,2,0,0,0,0,0,0,-1
2,-1,-1,-1,1,0,0,2,1,2,1,0,0,0,0,0,-1
2,-1,-1,-1,1,0,0,2,1,2,0,1,0,0,0,0,-1
2,-1,-1,-1,1,0,0,2,1,2,0,0,0,1,0,0,-1
2,-1,-1,-1,1,0,0,2,1,2,0,0,0,0,1,0,-1
2,-1,-1,-1,1,0,0,2,1,2,0,0,0,0,0,1,-1
2,-1,-1,-1,1,1,0,2,1,2,0,0,0,0,0,0,-1
2,-1,-1,-1,0,1,1,2,1,2,0,0,0,0,0,0,-1
2,-1,-1,-1,0,1,0,2,1,2,0,1,0,0,0,0,-1
2,-1,-1,-1,0,1,0,2,1,2,0,0,1,0,0,0,-1
2,-1,-1,-1,0,1,0,2,1,2,0,0,0,1,0,0,-1
2,-1,-1,-1,0,1,0,2,1,2,0,0,0,0,1,0,-1
2,-1,-1,-1,0,1,0,2,1,2,0,0,0,0,0,1,-1
2,-1,-1,-1,0,1,0,2,1,2,1,0,0,0,0,0,-1
2,-1,-1,-1,1,0,1,2,1,2,0,0,0,0,0,0,-1
2,-1,-1,-1,0,1,1,2,1,2,0,0,0,0,0,0,-1
2,-1,-1,-1,0,0,1,2,1,2,1,0,0,0,0,0,-1
2,-1,-1,-1,0,0,1,2,1,2,0,1,0,0,0,0,-1
2,-1,-1,-1,0,0,1,2,1,2,0,0,1,0,0,0,-1
2,-1,-1,-1,0,0,1,2,1,2,0,0,0,1,0,0,-1
2,-1,-1,-1,0,0,1,2,1,2,0,0,0,0,1,0,-1
2,-1,-1,-1,0,0,1,2,1,2,0,0,0,0,0,1,-1
